,objective_name,solver_name,data_name,idx_rep,stop_val,time,objective_value,objective_sparsity,objective_opt_violation,env-OMP_NUM_THREADS,platform,platform-architecture,platform-release,platform-version,system-cpus,system-processor,system-ram (GB),version-cuda,version-numpy,version-scipy
0,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],0,0,0.00034082774072885513,0.5,0,0.616876185483871,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
1,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],0,1,0.0006152568385004997,0.27721497527464056,88,0.09727632909889602,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
2,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],0,2,0.0007805959321558475,0.23252367880758512,59,0.0755897901588746,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
3,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],0,3,0.0009449911303818226,0.19799442505250195,39,0.06026394688865225,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
4,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],0,4,0.0011066021397709846,0.18262568312548497,34,0.0662437320333675,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
5,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],0,6,0.0014399150386452675,0.1700038549568516,23,0.01960014040069826,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
6,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],0,9,0.001985860988497734,0.16745907024324908,18,0.012354938079042959,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
7,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],0,13,0.002592095173895359,0.16636549455946198,16,0.006051866272498173,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
8,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],0,19,0.0035241348668932915,0.1635049232608684,20,0.009574005059265067,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
9,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],0,28,0.004981469828635454,0.16261812930002392,17,0.0022684044373353614,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
